Post Created Date,Post Created Time,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Message,Link,Score,comment_csv,comment_neg,comment_pos,comment_total,timestamp,week_day,time_slot,polarity,polarity_class,polarity_comment
18-12-18,8:52:47,928,458,47,29,353,22,11,1,1,6,"Hey guys, I am going to upload a series of three episodes where I’ll cover three new restaurants in town. For the first episode I chose Cheez I tasted a gourmet and a classic pizza and I loved it. Hope you guys enjoy the video and let me know in the comment section below which one of these pizzas you like more. Thanks for watching. Stay hungry with khudalagse and I’ll see you in the next episode. *Not a sponsored video* Thanks Salman Sadi for making me this video!",https://www.facebook.com/khudalagse2/videos/468641550331365/,-28.25,khudalagse_1,6,19,25,2018-12-18 13:52:47,tuesday,14,0.934010152284264,7,0.52
26-12-18,7:02:43,538,276,24,4,217,10,4,0,0,3,"Hey Guys, welcome to the second episode of this series! So for the second episode I paid a visit to Boma Burger . I tasted their Boma Fries and the Murgi Milon. Don’t forget to check out my first video if you haven’t done it yet and share this video with your friends if you like it. Let me know your opinion about their burgers. *Not a sponsored video* Thanks to Salman Sadi for helping me with this series.",https://www.facebook.com/khudalagse2/videos/266250174067813/,-48.73,khudalagse_2,0,14,14,2018-12-26 12:02:43,wednesday,13,0.9658119658119658,7,1.0
31-12-18,10:46:09,662,373,19,7,235,13,7,2,0,6,"Hey Everyone, welcome to the third and last episode of this series! So for the third episode I went to Rustic Eatery to taste their Buffalo wings and Garlic Calamari. Don’t forget to check out my first and second video if you haven’t done it yet and share this video with your friends if you like it and don’t forget to let me know your opinion about their food. Not a sponsored video . . . . . . . Thanks to Salman Sadi for helping me with the video . . . . . . . . . . . #foodblogger #foodie #instafoodbd #dhakafood #foodblogs #foodblog #foodheaven #foodphotographer #dhaka #bangladeshiblogger #lifestyleblogger #bdrestaurants #foodiesofinstagram #goodeats #instaphoto #likeforlike #dhakaeats #dhakagram #khudalagse #food4thought #foodphotography #foodstyling #foodjournal #foodreview #foodporn #foodgasm",https://www.facebook.com/khudalagse2/videos/233842097512723/,-39.6,khudalagse_3,3,11,14,2018-12-31 15:46:09,monday,16,0.9315589353612167,7,0.5714285714285714
23-01-19,12:30:12,327,185,8,4,119,5,3,0,0,3,So I was invited at Hui Legacy for their open sky live BBQ and Thai Street Food Festival. I tried one item from the steak section and another from their seafood section. I quite loved the environment and their different idea for this winter season. For the whole review checkout the video and don’t forget to join Hui Legacy in this food festival running every weekend (Thursday- Saturday) 6pm to 3am! Thanks to Salman Sadi for helping me out with the video Follow Khudalagse for more contents like this.,https://www.facebook.com/khudalagse2/videos/708699769527005/,-80.17,khudalagse_4,1,5,6,2019-01-23 17:30:12,wednesday,18,0.9538461538461539,7,0.6666666666666666
06-02-19,8:32:22,562,302,22,17,207,7,2,1,1,3,Here I am with the review of Pizzeria finally! So I tried two of their pizzas and one pasta. I really think this is a great place for hangouts and even for home deliveries. They are also open till 3am for your late night pizza cravings. For the food reviews checkout the whole video. Thanks to Pizzeria again for inviting me. Thanks to Salman Sadi for helping me out with the videos Follow Khudalagse for more such videos and don’t forget to share it with your friends if you like it. . . . . . . #foodblogger #foodie #instafoodbd #dhakafood #foodblogs #foodblog #foodheaven #foodphotographer #dhaka #bangladeshiblogger #lifestyleblogger #bdrestaurants #foodiesofinstagram #goodeats #instaphoto #likeforlike #dhakaeats #dhakagram #khudalagse #food4thought #foodphotography #foodstyling #foodjournal #foodreview #foodporn #foodgasm,https://www.facebook.com/khudalagse2/videos/314663822513621/,-46.65,khudalagse_5,2,9,11,2019-02-06 13:32:22,wednesday,14,0.9638009049773756,7,0.6363636363636364
12-02-19,10:12:39,650,382,16,23,211,12,2,0,0,4,Finally the Foodwalk video is here. Our foodwalk volum 1 took place in Puran Dhaka. We tried to portray the heritage of our country’s food culture. A big shoutout to my foodbloggers friends and now a family to me. Thanks to Salman Sadi for helping me out with the video! Follow Khudalagse for more such contents,https://www.facebook.com/khudalagse2/videos/1002831179841238/,-40.33,khudalagse_6,1,8,9,2019-02-12 15:12:39,tuesday,16,0.982532751091703,7,0.7777777777777778
17-02-19,7:52:40,881,582,10,13,253,14,5,0,0,4,"Hello everyone, so here is the video of my visit to Cilantro. Thanks to Cilantro for reaching out to me and inviting me. I tried their ‘Platter for two’. I really loved their food and the ambiance is so perfect. Looking forward to visiting the place again and try out their other items soon. Do like and comment on the video if you want to support me! Thanks for watching <3 Thanks to Salman Sadi for helping me out with the video. Follow @khudalagse for more such contents.",https://www.facebook.com/khudalagse2/videos/409996273107567/,-29.76,khudalagse_7,2,9,11,2019-02-17 12:52:40,sunday,13,0.9637681159420289,7,0.6363636363636364
22-02-19,9:36:11,514,330,9,12,150,9,2,0,0,2,Here is the video of my visit to The Flourist . Its an online based bakery shop. Recently they have opened their new counter at the Gourmet Bazar in the gulshan branch. I tasted the cupcakes and the macaroons. Really loved the presentation and the taste. Thanks to Saria apu for collaborating with me. Definitely looking forward to taste the amazing painted Cakes. Thanks to Salman Sadi for helping me with the video. Follow Khudalagse for more videos like this.,https://www.facebook.com/khudalagse2/videos/374600716456953/,-51.0,khudalagse_8,2,3,5,2019-02-22 14:36:11,friday,15,0.9754601226993865,7,0.2
28-02-19,8:43:58,779,375,26,15,336,15,8,0,1,3,"Hello guys! Since so many of you guys requested me to open up my YouTube channel, here it is. My name is Faiza and I taste foods all around Dhaka. From Gulshan, Banani to the streets of Puran Dhaka I review foods from every genre! Enjoy the video and subscribe if you like the video. Thank you for the support. Instagram: https://www.instagram.com/khudalagse/ YouTube: https://www.youtube.com/channel/UCtIRl4NnqxraKAYq8EDy_ew",https://www.facebook.com/khudalagse2/videos/364144464174525/,-33.65,khudalagse_9,5,8,13,2019-02-28 13:43:58,thursday,14,0.9504132231404959,7,0.23076923076923078
16-03-19,6:15:59,"1,582",1128,44,24,355,21,6,0,0,4,"Hello everyone, it’s been a long time that I haven't uploaded a new vlog. So here’s the video of my visit at Café Mémoire. Since you guys keep asking me to review something from Uttara, I gave it a shot. Checkout the whole video to know about the amazing food items there. I highly recommend this place. Thanks to Salman Sadi for helping me out with the video. Follow Khudalagse for more contents like these.",https://www.facebook.com/khudalagse2/videos/420952562008652/,-16.57,khudalagse_10,6,14,20,2019-03-16 11:15:59,saturday,12,0.9689119170984456,7,0.4
