Post Created Date,Post Created Time,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Message,Link,Score,comment_csv,comment_neg,comment_pos,comment_total,timestamp,week_day,time_slot,polarity,polarity_class,polarity_comment
05-01-20,2:08:55,"37,583",27061,880,2925,6069,254,142,16,41,195,"মোহাম্মদপুরের যা কিছু বিখ্যাত... সেলিম ভাই এর কাবাব, চাপ থেকে শুরু করে সাত গম্বুজ মসজিদ, বোবার বিরিয়ানী, আসাদগেটের ইতিহাস, মুস্তাকিমের চাপ, মনা ভাইয়ের হালিম সব কিছুই দেখানো হয়েছে এই ভিডিওতে! মোহাম্মদপুর কে চিনতে হলে একবার এই ভিডিও দেখতে পারেন! 😁",https://www.facebook.com/metroman14/videos/2643383105744404/,3.15,metroman_1,15,14,29,2020-01-05 07:08:55,sunday,8,0.9407473574512432,7,-0.034482758620689655
07-01-20,2:47:14,"12,933",9962,250,611,1807,130,68,11,18,76,"পুরান ঢাকায় আমরা হাজী, নান্না, কোলকাতা কাচ্চির নাম অনেক শুনি এবং খেয়ে থাকি , কিন্তু শুধু কি এগুলোই? না.. পুরান ঢাকার আনাচে কানাচে ছড়িয়ে রয়েছে আরো অনেক খাবার-দাবার , যেগুলা আমরা নতুন ঢাকার মানুষেরা চিনিনা কিন্তু পুরান ঢাকার মানুষেদের তারা খাইয়ে আসছে যুগ যুগ ধরে , আজকের ভিডিওটা তাদেরকে চিনানোরই ছোট্ট একটা প্রয়াস ! For Better Quality : https://www.youtube.com/watch?v=QkFpSEstybs&t আমরা যে ৫ টা জায়গাতে গিয়েছি তার গুগল ম্যাপ লোকেশন লিঙ্ক নিচে দেওয়া হলোঃ ১. ঝুনুর পোলাও (Jhunu Polao Ghor) https://goo.gl/maps/SRRef8dNrBrhBatC7:=:https://www.google.com/maps/place/Jhunu+Polau+Ghor/@23.7081471,90.4200467,16z/data=!4m5!3m4!1s0x3755b9ac68381f51:0xa9700dd65741de2e!8m2!3d23.7112613!4d90.4183401?shorturl=1 ২. বুড্ডুর ডাল পুরি (Buddur Dal Puri) https://goo.gl/maps/8JNj1gf8SPhSdRZz7:=:https://www.google.com/maps/place/Buddur+Dal+Puri/@23.7091491,90.4164418,16z/data=!4m5!3m4!1s0x0:0x8379cc76a02510c1!8m2!3d23.7056313!4d90.4177393?shorturl=1 ৩. ক্যাফে কর্নার (Cafe Corner) https://goo.gl/maps/4izZ8RuB5DDbQPPt9:=:https://www.google.com/maps/place/Cafe+Corner/@23.7063703,90.41244,19z/data=!4m5!3m4!1s0x3755b90781b072ef:0xe4daf75c7866b3b1!8m2!3d23.7061117!4d90.412345?shorturl=1 ৪. চৌরঙ্গি হোটেল (Chourangi Hotel) https://goo.gl/maps/XacnxsZdUhpghLqF6:=:https://www.google.com/maps/place/Chourangi+Hotel/@23.7063703,90.41244,19z/data=!4m5!3m4!1s0x3755b9077ff2a51d:0x8656edde7f01eacb!8m2!3d23.7063073!4d90.4124636?shorturl=1 ৫. GREENSWEETMEAT https://goo.gl/maps/eAXoHLurbzGomnTX9:=:https://www.google.com/maps/place/GREENSWEETMEAT/@23.7192888,90.4129254,17z/data=!4m5!3m4!1s0x3755b855e2c3398b:0xdfaafa321b2313ce!8m2!3d23.7208281!4d90.4131112?shorturl=1",https://www.facebook.com/metroman14/videos/1111085085900909/,1.09,metroman_2,13,16,29,2020-01-07 07:47:14,tuesday,8,0.9080568720379147,7,0.10344827586206896
17-01-20,8:20:17,"23,420",18113,546,646,2601,147,1223,9,24,111,"মিরপুরের মত বিশাল একটা জায়গায় কোন কোন খাবারের দোকান বিখ্যাত সেগুলা খুজতে গিয়ে আমরা অনেক কিছুই পেয়েছি , তার মধ্যে তুমুল জনপ্রিয় ৩ টা জায়গা আপনাদের দেখাতে চেয়েছি এই ভিডিওতে , আপনাদের আর কোন জায়গা সাজেশন থাকলে কমেন্ট বক্সে দিতে পারেন কিন্তু ;) ১. মিনু ডিম চাপ (Minu dim chop) https://goo.gl/maps/N2MS8BzrzjJueYdM7:=:https://www.google.com/maps/place/Minu+dim+chop/@23.8118507,90.3675592,17z/data=!3m1!4b1!4m5!3m4!1s0x3755c1d27a76d5a9:0xcf08e793b0ced4c3!8m2!3d23.8118458!4d90.3697479?shorturl=1 ২. শওকত কাবাব ঘর (Showkot Kebab Ghor) https://goo.gl/maps/VmE1BPippMrauJDy6:=:https://www.google.com/maps/place/Showkot+Kebab+Ghor/@23.8121256,90.3675914,17z/data=!3m1!4b1!4m5!3m4!1s0x3755c129f765b843:0xbf837a197ba334fc!8m2!3d23.8121207!4d90.3697801?shorturl=1 ৩. কাল্লু কাবাব ঘর (Kallu Kabab Ghar) https://goo.gl/maps/JCHtWHky8rSxrWPq6:=:https://www.google.com/maps/place/Kallu+Kabab+Ghar/@23.8176077,90.3696764,17z/data=!3m1!4b1!4m5!3m4!1s0x3755c12c68b14bed:0xb8e1ccfc382cb947!8m2!3d23.8176028!4d90.3718651?shorturl=1",https://www.facebook.com/metroman14/videos/184662132587488/,1.97,metroman_3,12,17,29,2020-01-17 13:20:17,friday,14,0.38955042527339,5,0.1724137931034483
19-01-20,7:53:10,"71,149",50251,368,472,13916,313,5264,25,30,510,"For Better Quality : https://youtu.be/GYUQJRTx2z4:=:https://www.youtube.com/watch?v=GYUQJRTx2z4&feature=youtu.be সাকিব আল হাসান এবং ইমরুল কায়েস এর Shakib's75 Restaurant রেস্টুরেন্টে আমরা কি কি খেলাম? এখানে একটা প্লে জোন আছে যেখানে সাকিব আল হাসানের বলে আপনি ব্যাটিং করতে পারবেন! ভাগ্য ভালো থাকলে রেস্টুরেন্টে হয়তো বিশ্বসেরা অলরাউন্ডার কেও পেয়ে যেতে পারেন! আবার আপনি যদি ইমরুল কায়েসের পাগলা ফ্যান হয়ে থাকেন আমাদের মত, তাহলে তো তার সাথে একটা সেল্ফি তুলে আনতেই পারেন 😉 বাকিটা ভিডিওতেই দেখে নিন! 🤭",https://www.facebook.com/metroman14/videos/2781223371916867/,5.97,metroman_4,14,15,29,2020-01-19 12:53:10,sunday,13,0.4696380496559976,5,0.034482758620689655
04-02-20,1:02:00,"37,121",27428,626,1264,6872,390,202,34,29,276,"পুরান ঢাকার ৫ টা বিখ্যাত বিরিয়ানীর খোজখবর পেয়ে যাবেন আজকের পুরান ঢাকার এই পর্ব তে। . . . আমরা যে ৫ টা জায়গাতে গিয়েছি তার গুগল ম্যাপ লোকেশন লিঙ্ক নিচে দেওয়া হলোঃ ১. নান্নার বিরিয়ানী (Nanna Biryani) https://goo.gl/maps/YCUEURoF2ewLxJuV9:=:https://www.google.com/maps/place/Hazi+Nanna+Biriyani/@23.7161128,90.3980953,17z/data=!3m1!4b1!4m5!3m4!1s0x3755b8e265abb4df:0x3d9d5f3baac4748b!8m2!3d23.7161079!4d90.400284?shorturl=1 ২. শমসের আলীর ভুনা খিচুড়ি (Shamsher Ali's Bhuna Khihuri) https://goo.gl/maps/uPUuuA25WdU9CmDE7:=:https://www.google.com/maps/place/Shamser+Ali'r+Vhuna+Khichuri/@23.7180302,90.3984962,17z/data=!3m1!4b1!4m5!3m4!1s0x3755b8e2d6dced25:0xd32d56776de9ed28!8m2!3d23.7180253!4d90.4006849?shorturl=1 ৩. হাজীর বিরিয়ানী (Hazir Biriyani) https://goo.gl/maps/MG24u8EWPZgnh6cW6:=:https://www.google.com/maps/place/Haji+Biriyani/@23.720697,90.4036775,17z/data=!3m1!4b1!4m5!3m4!1s0x3755b8fc793dce3f:0x298a8623a7ade83e!8m2!3d23.7206921!4d90.4058662?shorturl=1 ৪. হানিফ বিরিয়ানী (Hanif Biriyani) https://goo.gl/maps/wG969gwRHk9bBPbJ8:=:https://www.google.com/maps/place/Hanif+Biriyani/@23.7205732,90.4038567,17z/data=!3m1!4b1!4m5!3m4!1s0x3755b8fc7a6d5a13:0xd5eb9e5a71484d22!8m2!3d23.7205683!4d90.4060454?shorturl=1 ৫. রাজধানী হোটেল (Rajdhani Hotel) https://goo.gl/maps/PgaWXXC2bYCARq5h8:=:https://www.google.com/maps/place/New+Rajdhani+Hotel+%26+Restaurant/@23.7241621,90.4095253,17z/data=!3m1!4b1!4m5!3m4!1s0x3755b8f862f605d3:0x73603b1915af1fbb!8m2!3d23.7241572!4d90.411714?shorturl=1",https://www.facebook.com/metroman14/videos/599298297314611/,3.12,metroman_5,13,16,29,2020-02-04 06:02:00,tuesday,7,0.932077406125849,7,0.10344827586206896
28-02-20,7:59:56,"6,337",4946,148,111,993,48,38,14,7,32,"নতুন ঢাকার কাচ্চির জনক মনে করে অনেকেই , আবার পুরান ঢাকার বহু বছর পুরোনো কাচ্চির সাথে সমান তালে পাল্লা দিয়ে যাচ্ছে এই কাচ্চি , আর কেউ না সুলতান'স ডাইন ! আপনাদের কাছে কেমন লাগে জানাতে ভুলবেন না কমেন্ট বক্সে !!",https://www.facebook.com/metroman14/videos/528762847748562/,-1.88,metroman_6,14,13,27,2020-02-28 12:59:56,friday,13,0.8957597173144877,7,-0.037037037037037035
10-03-20,10:55:33,"82,238",38246,3642,1889,6438,593,31009,83,69,269,৫৫০ টাকায় ৬৫ আইটেম যত খুশি ততো কোপানোর নিঞ্জা টেকনিক ;) 😆 For better quality : https://youtu.be/mLnB4PTxH7I:=:https://www.youtube.com/watch?v=mLnB4PTxH7I&feature=youtu.be,https://www.facebook.com/metroman14/videos/654959785298435/,6.9,metroman_7,19,10,29,2020-03-10 15:55:33,tuesday,16,-0.6203946855255974,1,-0.3103448275862069
07-06-20,6:00:01,"2,984",1804,117,23,272,25,719,12,2,10,"সুদূর কোরিয়াবাসীরা যেই আগুন ঝাল রামেন খায় সেটা কত ঝাল তার তীব্রতা বুঝার জন্য , এক্সপেরিমেন্ট করার জন্য এই ভিডিও টা করা ! নরমালের চেয়ে প্রায় ৮ গুন বেশি ঝাল এই নুডলসটি !! For Better View : https://youtu.be/L9Y8lORNDgM:=:https://www.youtube.com/watch?v=L9Y8lORNDgM&feature=youtu.be",https://www.facebook.com/metroman14/videos/627477238112384/,-3.99,metroman_8,13,16,29,2020-06-07 11:00:01,sunday,12,-0.4096153846153846,2,0.10344827586206896
03-07-20,5:00:00,"14,499",9869,302,206,3614,156,81,52,6,213,"For Better View : https://youtu.be/76KxgfGCudQ:=:https://www.youtube.com/watch?v=76KxgfGCudQ&feature=youtu.be ঢাকার সেরা কাচ্চির মধ্যে উঠতি রেস্টুরেন্ট হিসেবে কি কাচ্চি ভাই এর নাম এগিয়ে রাখবেন? আমি আজকে তাদের ৩ জনের কাচ্চি প্ল্যাটার ( কাচ্চি, রোস্ট, জালি কাবাব) সাথে বোরহানী, বিফ রেজালা, ফিরনী ও বাদামের শরবত খেলাম । ৩ জনের কাচ্চি প্ল্যাটারের দাম : 1340 টাকা ( রোস্টের টা) ৩ জনের কাচ্চি প্ল্যাটারের দাম : 1450 টাকা ( রেজালার টা) Follow Me : Shahriar Rabbir : http://www.facebook.com/srabbir:=:https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fsrabbir http://www.instagram.com/shahriar_rabbir/:=:https://www.instagram.com/accounts/login/?next=/shahriar_rabbir/",https://www.facebook.com/metroman14/videos/2696911233748459/,1.22,metroman_9,20,9,29,2020-07-03 10:00:00,friday,11,0.9325570111596313,7,-0.3793103448275862
07-07-20,6:00:00,"14,387",9040,288,141,1660,69,3070,14,35,70,"লকডাউনের পর প্রথম যেই রেস্টুরেন্টে যাই সেটা হলো সুলতান'স ডাইন ! কেমন এখন ওদের সার্ভিস? টেস্ট কি রয়েছে আগের মতই? Google Map Location: https://goo.gl/maps/DgkyTNjPuno:=:https://www.google.com/maps/place/Sultan's+Dine/@23.7388896,90.3732541,17z/data=!3m1!4b1!4m5!3m4!1s0x3755b8caa7e60837:0xf47efcf6f49b50c5!8m2!3d23.7388896!4d90.3754428?shorturl=1 We tried their Kacchi Platter for 5 persons (Price 3199 Taka) Address : Green Akshay Plaza, 146/G (old), 59 (new), Satmasjid Road, Dhaka, Bangladesh 1205 (Near Shimanto/Rifles Square) Follow us : Shahriar Rabbir : http://www.facebook.com/srabbir:=:https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fsrabbir http://www.instagram.com/shahriar_rabbir/:=:https://www.instagram.com/accounts/login/?next=/shahriar_rabbir/ Kazi Tahsin Tonmoy : http://facebook.com/tahsintonmoy18:=:https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Ftahsintonmoy18 http://www.instagram.com/kazi_tahsin_tonmoy/:=:https://www.instagram.com/accounts/login/?next=/kazi_tahsin_tonmoy/",https://www.facebook.com/metroman14/videos/273529460383340/,1.21,metroman_10,19,10,29,2020-07-07 11:00:00,tuesday,12,-0.2684017893452623,2,-0.3103448275862069
