Post Created Date,Post Created Time,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Message,Link,Score,comment_csv,comment_neg,comment_pos,comment_total,timestamp,week_day,time_slot,polarity,polarity_class,polarity_comment
30-10-18,8:07:31,386,256,23,9,91,5,0,0,1,1,"আমরা বেশ কিছুদিন আগে মালয়েশিয়াতে Fish & Co. Malaysia এ খেয়েছিলাম। ওখানে ওদের প্রাইস সম্পর্কে একটা আইডিয়া হয়েছিল। কিছুদিন আগে ফেইসবুক এর নিউজফীড এ দেখি Fish & Co. Bangladesh নতুন আইটেম অ্যাড করেছে ওদের মেনু তে সেটা হচ্ছে Salmon & Seafood Pizza, তাই আমরা হামলা দিলাম. যথাযথভাবে ওদের খাবার এর Taste নিয়ে নতুন করে কিছু বলার থাকে না, খুব মজার এবং Unique। কিন্তু আমি অবাক হই, ওরা মালয়েশিয়া এর তুলনায় বাংলাদেশ এ DOUBLE Price রাখে। Even ওরা বাংলাদেশ এ Service Charge রাখে ১০% যেটা ওরা মালয়েশিয়াতে রাখে না. সম্পূর্ণ ভিডিও টা দেখলে বুঝতে পারবেন আরো Details এ। আশা করি ভালো লাগবে ভিডিওটি। 👇👇 YouTube: https://youtu.be/z6FzvZGb9E8:=:https://www.youtube.com/watch?v=z6FzvZGb9E8&feature=youtu.be",https://www.facebook.com/PetukCouple/videos/826362914372226/,-77.14,petuk-couple_1,0,12,12,2018-10-30 13:07:31,tuesday,14,0.9795918367346939,7,1.0
16-11-18,4:50:38,"1,280",972,102,15,158,26,5,1,0,1,"Few days ago after watching review at FoodBank, we went to have buffet lunch at Four Points by Sheraton Dhaka Gulshan. The food quality was top class and fresh, Environment was nice and cozy. I'd personally give 7.5 out of 10 based on taste of all of their food. But If I compare with the FoodBank's review, then there was a lot of items that was missing like sushi, sausage, shrimps etc. Maybe they prepare different food everyday. And their swimming pool was closed due to maintenance. What really annoying was the price of the water bottle. We had two 250ml of Aquafina water bottle and they charged 75++ on that bottle. Other than that, the price was worth it because they got buy 1 get 1 free (BOGO) offer for several card holders. But before going there, call them to know on which cards do they offer this. But if you don't have cards, then I would strongly recommend you to collect it from your friends or family before going there because without BOGO offer the price will be much higher and will not worth it. One thing I would like to include here is, after making some video clip they said that it's not permissible to shoot video of their food because other customers might feel uneasy. Other than that the behaviour of them was nice and welcoming. You can definitely visit there and have some quality food. So, stay tuned, we will see you in the next vlog. Till then subscribe to our YouTube Channel: https://www.youtube.com/channel/UCgc5_M1RttS2zaJlswB0F3w",https://www.facebook.com/PetukCouple/videos/2237008953247288/,-23.26,petuk-couple_2,7,22,29,2018-11-16 09:50:38,friday,10,0.93717277486911,7,0.5172413793103449
29-11-18,18:03:00,539,385,32,8,101,12,1,0,0,0,"For the first time Fish & Co. was offering Buffet and we didn’t wanna miss this chance. YouTube Link: https://www.youtube.com/watch?v=AWmans7FDTU We went there as early as possible so that we could have double round of intaking foods, but the taste was too good that we kept eating and eating. The most important thing was, their food tasted same as their regular menu, which really amazed me. And food was served hot. I liked this buffet most because I could have as much as Calamari as I like and you might know that I’m a huge fan of their calamari. What I dislike about this buffet most was, they served both Dory Fish & Chicken with the same “Peri-Peri” sauce. So, they tasted like the same, I would really prefer if they added different spice to cook different items. Below is my ratings on food items: Main Items: *Grilled Calamari with Lemon Butter Sauce - 9.5/10 *Grilled Dory (With Peri Peri Sauce) - 9/10 *Grilled Chicken with Peri Peri Sauce - 9/10 *Mixed vegetables (Was with the dory and chicken) - 8/10 *Pasta with Tomato Sauce - 5/10 *Paella Rice - 7/10 *Chips - 8/10 Desert Item: *Cream Caramel - 7.5/10 Salad Item was with the following Dressings *Honey Balsamic - 6.5/10 *Caesar Dressing - 8/10 *Mint Yoghurt - 8/10 Drinks: *Mango Lemon Juice - 3/10 *Orange Lemon Juice - 2/10 Although they claim this as Juice, but it was actually not. It was more likely “TANG” sort of thing. But good thing is, they at least offered free drinks which is a huge Plus point on any buffet. They might continue this buffet offer on every Sunday. So, hurry up! I will overall give them 8.5 / 10 compared to price and the quality & quantity. By the way, stay tuned we will see you in the next food and travel Vlog. Till then subscribe and visit out social sites to get connected for more short videos and reviews. YouTube: https://www.youtube.com/c/PetukCouple Instagram: https://www.instagram.com/PetukCouple/",https://www.facebook.com/PetukCouple/videos/2307202649556049/,-55.24,petuk-couple_3,2,11,13,2018-11-29 23:03:00,thursday,24,0.9824561403508771,7,0.6923076923076923
17-12-18,5:52:47,495,389,21,7,61,11,2,1,2,1,"Guess what! Our first visit to “The Pit Grill” and we were not fully satisfied! *MUST READ after watching the video!!* YouTube Link: https://youtu.be/lulewBAQI6M:=:https://www.youtube.com/watch?v=lulewBAQI6M&feature=youtu.be We ordered the Rib Eye Steak (Medium Cooked) because on our last vlog (Link: https://youtu.be/9cTla2fXfQ4:=:https://www.youtube.com/watch?v=9cTla2fXfQ4&feature=youtu.be ) we tried the same cut at Woodhouse Grill and wanted to compare the taste between these two restaurants. They served a plate full of crispy chips which were a welcome complimentary item. The chips were nice and crispy seasoned with black paper & tasting sault. I must say this was unique and appetizing. Then the main food came. From the outside, the steak looked yummy! And as a side dish, we took Mashed Potato & Grilled Vegetables. To be frank, I found that the steak itself tasted better than the Woodhouse Grill’s steak but it lakes sauces. And we also asked for the “Medium Cooked” but I found that some part of the steak was kind of like “Rare Medium” in cooked. Didn’t expect it to be that way. Most of the other steakhouses offer one or two complimentary sauce like black pepper sauce or mushroom sauce or pepper sauce etc, but they had no sauces whatsoever. Which was like “WHAT? WHY?” for us. Most probably they are trying to follow western countries where steaks are not served with any sauces (I’m not fully sure though) but then again, It’s Bangladesh MAN! Our appetite is different, isn’t it? So, I ate the steak with lots of crushed black paper. This is how I satisfied my cravings for the sauces. If I compare it with the Woodhouse grill then I would prefer woodhouse grill. Because they give 300g of steak but at The Pit Grill they give 250g of the same cut whereas price is much higher at The Pit Grill. Woodhouse grill costs 1245 for rib eye which is 300g in weight and they charge 7% extra service charge on top of the price. Whereas The Pit Gril’s Rib Eye costs 1500 tk for 250g and they charge 10% extra as service charge. So, basically altogether the price of ribeye steak at woodhouse grill will be 1531 TK and in Pit Grill it’s 1897 TK. That’s 366 TK higher in price with less amount of meat with no sauces! Overall I’ll give it 7/10 compared with the price and the quantity and quality. One important thing I want to mention is that they offer aged Steaks, which I would like to try. So, I will visit there again for that purpose but not for this rib eye steak. Ah! Another thing, If you want to get products from eBay, Amazon or any other international websites, then you can visit Sunny’s group. https://www.facebook.com/BDShopX/ https://www.facebook.com/groups/629847097392432/ That’s all for today. See you in the next vlog, till then subscribe and follow our social sites. https://www.youtube.com/c/PetukCouple https://www.facebook.com/PetukCouple/ https://www.instagram.com/petukcouple/:=:https://www.instagram.com/accounts/login/",https://www.facebook.com/PetukCouple/videos/1200526293435215/,-60.15,petuk-couple_4,3,7,10,2018-12-17 10:52:47,monday,11,0.8717948717948718,7,0.4
20-12-18,1:55:42,840,569,71,20,119,9,48,3,1,0,"Nandos, A food heaven for us! So, Let us show you, how we eat our food at Nando’s. YouTube: https://youtu.be/ClgyiFKYPWs:=:https://www.youtube.com/watch?v=ClgyiFKYPWs&feature=youtu.be Nando’s is well known for its unique flavour and is an international food chain. Mainly it serves Portuguese-Style various Peri Peri flavoured chicken. Maximum time we order Peri Peri Half Chicken, Cataplana Algarve & Chicken Liver. Those of you already had their food, you find it unique on its own flavour and can’t be compared with other restaurants. But still I’ll try to explain how the food tastes. Cataplana Algarve - 8.5/10:=:http://8.5/10 (850+ TK) is a bowl comes with spicy rice, tender peri peri chicken, capsicum & beans all together mixed with peri peri sauce. This is one of the tasty food of Nando’s. It has a unique taste and when you take a bite mixing all the things up, then it will give you a hard punch. Peri Peri Chicken - 8.5/10:=:http://8.5/10 (735+ TK) is very tender and the peri peri sauce is what makes this chicken so amazing. Definitely try this one. Chicken Livers - 8.5/10:=:http://8.5/10 (265+ TK) is an appetizer comes with Portuguese Roll. The most amazing part of this livers is its sauces. It has some smokey flavour and feels like this flavour kinda blends into the sauce. We actually eat our chicken with the sauce comes with the chicken livers. So, if you want to have maximum taste out of Nando’s, then ask them to bring all things together into your table. Otherwise, they will serve you the chicken livers first and then the other things. I agree that the price of Nando’s is really high but to me it really worth it. You also might not like the taste of Nando’s if you eat for the first time but if you continue to go there for 2-3 times, it will make you one kind of addiction. A Peri Peri Addiction that you don’t wanna miss. After Nando’s we went to the Cold Stone for ice-cream. We mixed Strawberry and Cheesecake flavour. It was really nice and smooth. The price was 489 TK. By the way, please make sure to visit and subscribe to our YouTube channel because we frequently upload vlogs there. Link: https://www.youtube.com/c/PetukCouple That’s all for today, see you in the next episode. Till then subscribe and be with us. Follow our social links as well. https://www.facebook.com/PetukCouple/ https://www.instagram.com/petukcouple/:=:https://www.instagram.com/accounts/login/",https://www.facebook.com/PetukCouple/videos/2071798389581681/,-35.45,petuk-couple_5,4,25,29,2018-12-20 06:55:42,thursday,7,0.4222222222222222,5,0.7241379310344828
18-01-19,7:45:25,541,404,12,5,94,20,5,0,0,1,"Chillox claims this burger as the Juiciest burger in the universe! But I don't think so! Certainly, the beef patty's size is big and it's approx 180g in weight and it also got 2 cheese slice. But this is not the juiciest burger in the universe. YouTube: http://bit.ly/2Rcm4et:=:https://www.youtube.com/watch?v=6EKlnEQlvtA&feature=youtu.be I haven't talked about this point in my VLOG so I thought I should share this in Description. You know sometimes I forget to talk on the point by seeing food in front of me. But this is why the description box is, right? Now, let's talk about a little more. Personally, I think this is one of the best burgers in town with a handsome amount of beef inside in this price range. This burger tasted good but I would say they should work on their cheese. It's so ordinary. The price of the burger is 250 TK. So, on this point they got a plus point from my perspective but this is not the juiciest burger in the universe. In fact, this is far away from the juiciest burger in the universe. I'd give it a 7/10 overall. Finally, I would say I don't have any complaint against this burger because it's so cheap and tasted good. So you can also try that out. and let me know what do you think about this burger.. Will be waiting for your reply. 🙂 Thanks for reading. Now If you have already subscribed, hit the bell button and stay connected. Take Care and May Allah Bless You. 🙂 Subscribe to our YouTube Channel: http://bit.ly/2QgVnj3:=:https://www.youtube.com/c/PetukCouple/?sub_confirmation=1",https://www.facebook.com/PetukCouple/videos/428039024401346/,-55.04,petuk-couple_6,1,7,8,2019-01-18 12:45:25,friday,13,0.9166666666666666,7,0.75
27-01-19,4:31:01,590,462,26,13,75,14,0,0,0,0,"Looking for an authentic Indian Restaurant for platter or buffet? I'm completely blown away by this one. It's truly The Great Kabab Factory... YouTube: http://bit.ly/2CUX6HE:=:https://www.youtube.com/watch?v=rTmPojJ2DV0&feature=youtu.be Every one of the items was unique of its own taste. একটার সাথে অন্যটার taste এর কোন মিল ছিল না। Among the items, I was completely blown away by the taste of Mutton Galouti Kabab. It was made by minced Mutton mixed with some Indian herbs & spices. And when I put that into my mouth, it melted... I really can't express how awesome this was. Other items were tasty as well but this Mutton Galouti Kabab is something else. Mutton Galouti Kabab - 10/10 Bhatti Ka Chooza - 7/10 Rampuri Tali Macchi - 7.5/10:=:http://7.5/10 Laila Mojnu Sheek Kabab - 7/10 Mirch Murgh Tikka - 7/10 Factory Mahi Tikki - 6.5/10:=:http://6.5/10 Khasta Aloo Chat - 7/10 But if you want to visit here, I would highly recommend to try their buffet instead of a platter. Because the price of the buffet was 999++ whereas the price of the platter was 650++. So for only 350++ TK, you are going to get unlimited food and a lot of other menus. The platters price is not worthy compared to the price of their buffet. I'd personally give this platter a 7 because of the price but if I don't consider the price, then it will get 8.5. I'll make another vlog on their buffet. I am dying to try that with my Petuk Bou. So, till then subscribe and follow our other social sites. https://www.youtube.com/c/PetukCouple https://www.facebook.com/PetukCouple/ https://www.instagram.com/petukcouple/:=:https://www.instagram.com/accounts/login/",https://www.facebook.com/PetukCouple/videos/278292396183226/,-50.47,petuk-couple_7,1,10,11,2019-01-27 09:31:01,sunday,10,1.0,7,0.8181818181818182
28-01-19,7:43:17,480,304,41,11,107,10,0,4,0,3,"We love this mini fuchka. You can find him beside Banasree Farazy Hospital, in front of Shawarma King. If you ever visit this area, must try it. Don't forget to visit our YouTube for longer and more detailed vlogs. YouTube Channel Link: http://bit.ly/2QgVnj3:=:https://www.youtube.com/c/PetukCouple/?sub_confirmation=1 Google Maps: https://goo.gl/maps/23VggLiDuhR2:=:https://www.google.com/maps/place/Unnamed+Road,+Dhaka+1212/@23.7619161,90.435902,19z/data=!3m1!4b1!4m5!3m4!1s0x3755b809fa07d49f:0xc7c704f5f8cf07e6!8m2!3d23.7619161!4d90.4364492?shorturl=1",https://www.facebook.com/PetukCouple/videos/2287090701580259/,-62.03,petuk-couple_8,7,15,22,2019-01-28 12:43:17,monday,13,0.9354838709677419,7,0.36363636363636365
02-02-19,5:17:21,"1,616",1073,217,94,171,45,12,2,1,1,"We didn’t want to miss the buffet of Sushi Tei Bangladeshi. It was an amazing experience. Each and every food was unique of its own taste. YouTube: http://bit.ly/2svncuK:=:https://www.youtube.com/watch?v=63PefkayIxc&feature=youtu.be They import every one of their items from Japan except the salmon which they import from Norway. From all the items, we liked the following items the most: Ni Hotate Sushi Ebi Sushi Baked Salmon Maki California Maki Kani Mayo Appetizer Tamago Sushi Overall I will give it a 9/10. Make sure you subscribe to our YouTube channel because we upload on YouTube more frequently. Link: http://bit.ly/2QgVnj3:=:https://www.youtube.com/c/PetukCouple/?sub_confirmation=1 Google Maps: https://goo.gl/maps/yGpNNjTAhQs:=:https://www.google.com/maps/place/Sushi+Tei+Bangladesh/@23.7769284,90.4145786,17z/data=!3m1!4b1!4m5!3m4!1s0x3755c79c8f920e4f:0x308eb2981df495e2!8m2!3d23.7769284!4d90.4167673?shorturl=1 FB Page of Restaurant: https://www.facebook.com/SushiteiBD/ By the way, here's the link of my Video for Grameenphone on Puran Dhaka's Food. Facebook Link: http://bit.ly/2AF99Hh:=:https://www.facebook.com/Grameenphone/posts/2658055537543217 YouTube Link: http://bit.ly/2ANYeeG:=:https://www.youtube.com/watch?v=dJbt7l6CMwk If you like our videos then don't forget to subscribe. Our other social sites: https://www.youtube.com/c/PetukCouple https://www.facebook.com/PetukCouple/ https://www.instagram.com/petukcouple/",https://www.facebook.com/PetukCouple/videos/634946110287664/,-18.43,petuk-couple_9,13,15,28,2019-02-02 10:17:21,saturday,11,0.8706896551724138,7,0.07142857142857142
27-02-19,8:47:26,354,216,48,9,36,44,0,1,0,0,"🔥This is how the Naga Pasta was cooked right in front of us. The Naga Pasta tasted really good with ""বোম্বাই মরিচ""'s flavour in it costs only 99 TK. 😍The most amazing part of this restaurant is, it offers foods from 10-99 TK only. Great for evening snacks. 👉Location: Cafe 10 to 99, House 30, Road 03, Block G Banasree",https://www.facebook.com/PetukCouple/videos/571746503333281/,-84.11,petuk-couple_10,0,17,17,2019-02-27 13:47:26,wednesday,14,0.9753086419753086,7,1.0
