Post Created Date,Post Created Time,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Message,Link,Score,comment_csv,comment_neg,comment_pos,comment_total,timestamp,week_day,time_slot,polarity,polarity_class,polarity_comment
07-05-18,8:37:32,"4,597",2264,341,117,1750,46,34,1,6,38,"Hey Folkss, In this video, we covered one of Dhanmondhi's first Sushi places and it's none other than Tao Town. Make sure to tag 2 of your friends for No Reason at All. If you enjoyed the content make sure to SMASH that Like button. MAKE SURE TOOO COMMENT Which Restuarant you want me to Cover next !!!!!! #TaoTown",https://www.facebook.com/Rafsanthechotobhai/videos/2030692410583733/,-14.58,rafsan_1,5,25,30,2018-05-07 13:37:32,monday,14,0.9562666666666667,7,0.6666666666666666
01-06-18,5:14:02,"1,260",643,106,100,367,24,11,2,3,4,"Hey Folks, I STARTED UPLOADING ON YOUTUBE !!! And In this segment, we decided to try out one of the most popular coffee places Dhaka has to offer, Crimson Cup BD. Make sure to watch the video to find out if it was truly the Ohio experience. For Better Quality : https://www.youtube.com/watch?v=vVPVyXfzYVM Cinmenatography and Editing by Salman Sadi Social Media Links in the comments Instagram : https://www.instagram.com/rafsan_tcb/ Salman Sadi' YouTube Channel : https://www.youtube.com/channel/UCF-88Dp0t-gYY8BhU_NeBlw",https://www.facebook.com/Rafsanthechotobhai/videos/2044195499233424/,-53.2,rafsan_2,2,28,30,2018-06-01 10:14:02,friday,11,0.9221411192214112,7,0.8666666666666667
16-07-18,10:48:03,"2,069",1139,240,92,529,34,23,4,1,7,"Aaaand we are back with another video ! In this Series, we are in search for the best Burger Dhaka has to offer A few days back Chillox claimed they had the best burgers or something? Let's put it to the test shall we? Chillox vs Takeout Make sure to check out the video to see who won. Instagram : www.instagram.com/rafsan_tcb:=:https://www.instagram.com/rafsan_tcb/ Cinmenatography and Editing by Salman Sadi",https://www.facebook.com/Rafsanthechotobhai/videos/2085941818392125/,-32.4,rafsan_3,4,25,29,2018-07-16 15:48:03,monday,16,0.9063545150501672,7,0.7241379310344828
20-08-18,10:33:01,"6,771",3432,121,96,2911,34,103,2,3,69,"In this video,we'll be making sure the Eiddie you'll be receiving is gonna be put to proper use ;) We make way onto Madchef to find out what we can get under Tk 500 to satisfy our Food Cravings. This video was a collaboration with Togbog so,make sure to check them out on Facebook. Cinematography by Salman Sadi Directed by Ekramul Haque For Better Quality, Check the video on YouTube https://www.youtube.com/watch?v=MgjCQNJyn7E& Make sure to follow us on Instagram ! https://www.instagram.com/rafsan_tcb:=:https://www.instagram.com/rafsan_tcb/ --> Iftekhar Rafsan https://www.instagram.com/ekrumul:=:https://www.instagram.com/ekrumul/ --> Ekramul Hauqe",https://www.facebook.com/Rafsanthechotobhai/videos/659502387783147/,-9.9,rafsan_4,6,24,30,2018-08-20 15:33:01,monday,16,0.9308135810377963,7,0.6
19-10-18,8:27:43,"4,648",2458,729,138,1048,128,123,6,12,6,"This is a new Food Vlog Series called ""I'm on a Budget"" We decided to check this new place in Banani called, Kungfu Dumpings (KFD) and it's pretty cheap, like 12 dumplings costs like only 200Tk In this segment, I'm broke like 24/7 with only 500 taka and I try to find restaurants which are cheap(within a budget) but don't compromise on the quality of the food either. For Better Quality : https://www.youtube.com/watch?v=WQeVr7rbHlI&feature=youtu.be Cinmenatography and Editing done by Salman Sadi Make sure to check follow me on Instagram : https://www.instagram.com/thechotobhai/",https://www.facebook.com/Rafsanthechotobhai/videos/543732262706670/,-14.42,rafsan_5,7,22,29,2018-10-19 13:27:43,friday,14,0.7868480725623582,7,0.5172413793103449
28-10-18,12:35:22,840,416,102,46,218,4,51,0,1,2,Check out the Most Happening Deal of the town from none other than Takeout. Videos under a minute do you love the concept? For Better Quality: https://youtu.be/RL7lvM0tnVM:=:https://www.youtube.com/watch?v=RL7lvM0tnVM&feature=youtu.be Socials : www.instagram.com/thechotobhai/:=:https://www.instagram.com/thechotobhai/ (Instagram) https://goo.gl/TDb35N:=:https://www.youtube.com/channel/UCxbyDapSavjgvdtpcJ2BJKw (YouTube New Channel) Iftekhar_Rafsan (SnapChat) #takeout #foodpanda #rafsanthechotobhai,https://www.facebook.com/Rafsanthechotobhai/videos/559841624454033/,-79.8,rafsan_6,10,20,30,2018-10-28 17:35:22,sunday,18,0.6231884057971014,6,0.3333333333333333
08-11-18,9:00:01,"5,980",2747,352,130,2575,57,59,1,4,55,"So Dhaka is like big enough for one Fish & Chips place and it's either, The Manhattan FISH MARKET Bangladesh or Fish & Co. Bangladesh. For Better Quality check it on YouTube : https://youtu.be/xCAkUBD7UI4:=:https://www.youtube.com/watch?v=xCAkUBD7UI4&feature=youtu.be Also, there was a lot of recent controversy behind Manhattan Fish Market so,make sure to watch the video and find out. Cinematography by Arshiyaan Ahmed. Make sure to follow my socialss : https://www.instagram.com/thechotobhai/",https://www.facebook.com/Rafsanthechotobhai/videos/1473601019441119/,-11.21,rafsan_7,7,23,30,2018-11-08 14:00:01,thursday,15,0.9534714649218466,7,0.5333333333333333
26-11-18,10:31:14,"1,179",604,86,45,277,13,147,0,4,3,"This is a very different kind of video, where I ordered food from Cookups FIT and reviewed the food at my home. Let me know if you want these kinds of videos in the comment section. Use the PROMO CODE ""RAFSANCU"" for your First Delivery to be completely Free. Click here to order: http://www.cookups.com.bd/feed:=:https://cookups.com.bd/feed YouTube Link : https://youtu.be/PzlDtBBZ9pw:=:https://www.youtube.com/watch?v=PzlDtBBZ9pw&feature=youtu.be Instagram : www.instagram.com/thechotobhai/:=:https://www.instagram.com/thechotobhai/ My Older brother's Instagram : www.instagram.com/nafis_rafsan/:=:https://www.instagram.com/nafis_rafsan/",https://www.facebook.com/Rafsanthechotobhai/videos/329755987837708/,-56.86,rafsan_8,11,16,27,2018-11-26 15:31:14,monday,16,0.31981981981981983,5,0.18518518518518517
14-12-18,4:14:48,"3,716",1726,646,129,724,35,445,3,4,4,"So we decided to check out the new Hyped Pizza place in Dhaka,Cheez , which is also a project by Madchef. YouTube : https://youtu.be/0K0xAGxj7jk:=:https://www.youtube.com/watch?v=0K0xAGxj7jk&feature=youtu.be Instagram : www.instagram.com/thechotobhai/:=:https://www.instagram.com/thechotobhai/",https://www.facebook.com/Rafsanthechotobhai/videos/2260360580862340/,-18.04,rafsan_9,12,18,30,2018-12-14 09:14:48,friday,10,0.2559670781893004,5,0.2
31-12-18,6:48:11,"6,028",2612,292,87,1075,32,1911,13,4,2,Everyone knows that I am such a Takeout Fanboy but recently their Burgers are Horrible. Let me know what you guys think in the comment section below? Youtube : https://youtu.be/gWqT8KB39vA:=:https://www.youtube.com/watch?v=gWqT8KB39vA&feature=youtu.be Instagram : www.instagram.com/thechotobhai:=:https://www.instagram.com/thechotobhai/ My Brother's Instagram : www.instagram.com/nafis_rafsan:=:https://www.instagram.com/nafis_rafsan/,https://www.facebook.com/Rafsanthechotobhai/videos/2259730517604468/,-11.12,rafsan_10,7,22,29,2018-12-31 11:48:11,monday,12,-0.2696740204148831,2,0.5172413793103449
